Tested device: TRM240
Date and time: 2023-06-14_17h57m49s
Modem manufacturer: Quectel
Modem model: EC21
Meaning,Command,Expected,Received,Passed
Request Manufacturer Identification,AT+GMI=?,OK,OK,True
Request TA Model Identification,AT+GMM=?,OK,OK,True
Request TA Revision Identification of Software Release,AT+GMR=?,OK,OK,True
Request Manufacturer Identification,AT+CGMI=?,OK,OK,True
Request Model Identification,AT+CGMM=?,OK,OK,True
Request TA Revision Identification of Software Release,AT+CGMR=?,OK,OK,True
Request International Mobile Equipment Identity (IMEI),AT+GSN=?,OK,OK,True
Request Product Serial Number Identification,AT+CGSN=?,OK,OK,True
Set all Current Parameters to Manufacturer Defaults,AT&F,OK,OK,True
Display Current Configuration,AT&V,OK,OK,True
Store Current Parameters to User Defined Profile,AT&W,OK,OK,True
Set all Current Parameters to User Defined Profile,ATZ,OK,OK,True
Set Result Code Presentation Mode,ATQ,OK,OK,True
TA Response Format,ATV1,OK,OK,True
Set Command Echo Mode,ATE1,OK,OK,True
Repeat Previous Command Line,A/,OK,OK,True
Set Command Line Termination Character,ATS3=013,OK,OK,True
Set Response Formatting Character,ATS4=010,OK,OK,True
Set Command Line editing Character,ATS5=08,OK,OK,True
Set CONNECTED Result Code Format and Monitor Call Progress,ATX4,OK,OK,True
Set Phone Functionality,AT+CFUN=?,OK,OK,True
Error Message Format,AT+CMEE=?,OK,OK,True
Select TE Character Set,AT+CSCS=?,OK,OK,True
Configure URC Indication Option,AT+QURCCFG=?,OK,OK,True
Set DCD Function Mode,AT&C,OK,OK,True
set DTR Function Mode,AT&D,OK,OK,True
Set TE-TA Local Data Flow Control,AT+IFC=?,OK,OK,True
Set TE-TA Control Character Framing,AT+ICF=?,OK,OK,True
Set TE-TA Fixed Local Rate,AT+IPR=?,OK,OK,True
Mobile Equipment Activity Status,AT+CPAS=?,OK,OK,True
Extended Error Report,AT+CEER=?,OK,OK,True
Extended Configuration Settings,AT+QCFG=?,OK,OK,True
GPRS Attach Mode Configuration,"AT+QCFG=""gprsattach""[1]",OK,OK,True
Network Search Mode Configuration,"AT+QCFG=""gprsattach""[0]",OK,OK,True
Network Searching Sequence Configuration,"AT+QCFG=""nwscanseq""[00]",OK,OK,True
Roam Service Configuration,"AT+QCFG=""roamservice""[255]",OK,OK,True
Aservice Domain Configuration,"AT+QCFG=""servicedomain""[2]",OK,OK,True
Band Configuration,"AT+QCFG=""band""[1]",OK,OK,True
HSDPA Category Configuration,"AT+QCFG=""hsdpacat""[24]",OK,OK,True
HSUPA Category Configuration,"AT+QCFG=""hsupacat""[6]",OK,OK,True
RRC Release Version Configuration,"AT+QCFG=""rrc""[4]",OK,OK,True
UE SGSn Release Version Configuration,"AT+QCFG=""sgsn""[2]",OK,OK,True
UE MSC Release Version Configuration,"AT+QCFG=""msc""[2]",OK,OK,True
Establish Multi PDNs with the Same APN,"AT+QCFG=""PDP/DuplicateChk""[0]",OK,OK,True
Set TDSCDMA RSSI Range,"AT+QCFG=""TDSCSQ""[0]",OK,OK,True
Request International Mobile Subscriber Identity (IMSI),AT+CIMI=?,OK,OK,True
Facility Lock,AT+CLCK=?,OK,OK,True
Enter PIN,AT+CPIN=?,OK,OK,True
Change Password,AT+CPWD=?,OK,OK,True
Generic SIM Access,AT+CSIM=?,OK,OK,True
Restricted SIM Access,AT+CRSM=?,OK,OK,True
Show ICCID,AT+QCCID=?,OK,OK,True
Display PIN Reaminder Counter,AT+QPINC=?,OK,OK,True
SIM Card Detection,AT+QSIMDET=?,OK,OK,True
SIM Inserted Status Report,AT+QSIMSTAT=?,OK,OK,True
Operator Selection,AT+COPS?,OK,OK,True
Network Registration,AT+CREG=?,OK,OK,True
Signal Quality Report,AT+CSQ=?,OK,OK,True
Preferred Operator List,AT+CPOL=?,OK,OK,True
Read Operator Names,AT+COPN=?,OK,OK,True
Automatic Time Zone Update,AT+CTZU=?,OK,OK,True
Time Zone Reporting,AT+CTZR=?,OK,OK,True
Query Network Information,AT+QNWINFO=?,OK,OK,True
Answer an Incoming Call,ATA,NO CARRIER,NO CARRIER,True
Mobile Originated Call to Dial a Number,ATD,ERROR,ERROR,True
Disconnect Existing Connection,ATH,OK,OK,True
